NúmeroDoPedido;CódigoDoCliente;CódigoDoFuncionário;DataDoPedido;DataDeEntrega;DataDeEntrega;DataDeEnvio;Via;Frete;NomeDoDestinatário;EndereçoDoDestinatário;CidadeDeDestino;RegiãoDeDestino;CEPdeDestino;PaísDeDestino
10412;WARTH;8;08/01/2017;05/02/2017;31/01/2037;10/01/2017;2;3,77;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10413;LAMAI;3;09/01/2017;06/02/2017;01/02/2037;11/01/2017;2;95,66;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10414;FAMIA;2;09/01/2017;06/02/2017;01/02/2037;12/01/2017;3;21,48;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10415;HUNGC;3;10/01/2017;07/02/2017;02/02/2037;19/01/2017;1;0,20;Hungry Coyote Import Store;"City Center Plaza
516 Main St.";Elgin;OR;97827;EUA
10416;WARTH;8;11/01/2017;08/02/2017;03/02/2037;22/01/2017;3;22,72;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10417;SIMOB;4;11/01/2017;08/02/2017;03/02/2037;23/01/2017;3;70,29;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
10418;QUICK;4;12/01/2017;09/02/2017;04/02/2037;19/01/2017;1;17,55;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10419;RICSU;4;15/01/2017;12/02/2017;07/02/2037;25/01/2017;2;137,35;Richter Supermarkt;Starenweg 5;Genève;;1204;Suíça
10420;WELLI;3;16/01/2017;13/02/2017;08/02/2037;22/01/2017;1;44,12;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brasil
10421;QUEDE;8;16/01/2017;27/02/2017;22/02/2037;22/01/2017;1;99,23;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brasil
10422;FRANS;2;17/01/2017;14/02/2017;09/02/2037;26/01/2017;1;3,02;Franchi S.p.A.;Via Monte Bianco 34;Torino;;10100;Itália
10423;GOURL;6;18/01/2017;01/02/2017;27/01/2037;19/02/2017;3;24,50;Gourmet Lanchonetes;Av. Brasil, 442;Campinas;SP;04876-786;Brasil
10424;MEREP;7;18/01/2017;15/02/2017;10/02/2037;22/01/2017;2;370,61;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10425;LAMAI;6;19/01/2017;16/02/2017;11/02/2037;09/02/2017;2;7,93;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10426;GALED;4;22/01/2017;19/02/2017;14/02/2037;01/02/2017;1;18,69;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;Espanha
10427;PICCO;4;22/01/2017;19/02/2017;14/02/2037;26/02/2017;2;31,29;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10428;REGGC;7;23/01/2017;20/02/2017;15/02/2037;30/01/2017;1;11,09;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10429;HUNGO;3;24/01/2017;07/03/2017;02/03/2037;02/02/2017;2;56,63;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10430;ERNSH;4;25/01/2017;08/02/2017;03/02/2037;29/01/2017;1;458,78;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10431;BOTTM;4;25/01/2017;08/02/2017;03/02/2037;02/02/2017;2;44,17;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
10432;SPLIR;3;26/01/2017;09/02/2017;04/02/2037;02/02/2017;2;4,34;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;EUA
10433;PRINI;3;29/01/2017;26/02/2017;21/02/2037;27/02/2017;3;73,83;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10434;FOLKO;3;29/01/2017;26/02/2017;21/02/2037;08/02/2017;2;17,92;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10435;CONSH;8;30/01/2017;13/03/2017;08/03/2037;02/02/2017;2;9,21;Consolidated Holdings;"Berkeley Gardens
12  Brewery";London;;WX1 6LT;Reino Unido
10436;BLONP;3;31/01/2017;28/02/2017;23/02/2037;06/02/2017;2;156,66;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10437;WARTH;8;31/01/2017;28/02/2017;23/02/2037;07/02/2017;1;19,97;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10438;TOMSP;3;01/02/2017;01/03/2017;24/02/2037;09/02/2017;2;8,24;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemanha
10439;MEREP;6;02/02/2017;02/03/2017;25/02/2037;05/02/2017;3;4,07;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10440;SAVEA;4;05/02/2017;05/03/2017;28/02/2037;23/02/2017;2;86,53;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10441;OLDWO;3;05/02/2017;19/03/2017;14/03/2037;09/03/2017;2;73,02;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;EUA
10442;ERNSH;3;06/02/2017;06/03/2017;01/03/2037;13/02/2017;2;47,94;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10443;REGGC;8;07/02/2017;07/03/2017;02/03/2037;09/02/2017;1;13,95;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10444;BERGS;3;07/02/2017;07/03/2017;02/03/2037;16/02/2017;3;3,50;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10445;BERGS;3;08/02/2017;08/03/2017;03/03/2037;15/02/2017;1;9,30;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10446;TOMSP;6;09/02/2017;09/03/2017;04/03/2037;14/02/2017;1;14,68;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemanha
10447;RICAR;4;09/02/2017;09/03/2017;04/03/2037;02/03/2017;2;68,66;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10448;RANCH;4;12/02/2017;12/03/2017;07/03/2037;19/02/2017;2;38,82;Rancho grande;Av. del Libertador 900;Buenos Aires;;1010;Argentina
10449;BLONP;3;13/02/2017;13/03/2017;08/03/2037;22/02/2017;2;53,30;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10450;VICTE;8;14/02/2017;14/03/2017;09/03/2037;06/03/2017;2;7,23;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10451;QUICK;4;14/02/2017;28/02/2017;23/02/2037;07/03/2017;3;189,09;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10452;SAVEA;8;15/02/2017;15/03/2017;10/03/2037;21/02/2017;1;140,26;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10453;AROUT;1;16/02/2017;16/03/2017;11/03/2037;21/02/2017;2;25,36;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10454;LAMAI;4;16/02/2017;16/03/2017;11/03/2037;20/02/2017;3;2,74;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10455;WARTH;8;19/02/2017;02/04/2017;28/03/2037;26/02/2017;2;180,45;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10456;KOENE;8;20/02/2017;03/04/2017;29/03/2037;23/02/2017;2;8,12;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10457;KOENE;2;20/02/2017;20/03/2017;15/03/2037;26/02/2017;1;11,57;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10458;SUPRD;7;21/02/2017;21/03/2017;16/03/2037;27/02/2017;3;147,06;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
10459;VICTE;4;22/02/2017;22/03/2017;17/03/2037;23/02/2017;2;25,09;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10460;FOLKO;8;23/02/2017;23/03/2017;18/03/2037;26/02/2017;1;16,27;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10461;LILAS;1;23/02/2017;23/03/2017;18/03/2037;28/02/2017;3;148,61;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10462;CONSH;2;26/02/2017;26/03/2017;21/03/2037;13/03/2017;1;6,17;Consolidated Holdings;"Berkeley Gardens
12  Brewery";London;;WX1 6LT;Reino Unido
10463;SUPRD;5;27/02/2017;27/03/2017;22/03/2037;01/03/2017;3;14,78;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
10464;FURIB;4;27/02/2017;27/03/2017;22/03/2037;09/03/2017;2;89,00;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10465;VAFFE;1;28/02/2017;28/03/2017;23/03/2037;09/03/2017;3;145,04;Vaffeljernet;Smagsløget 45;Århus;;8200;Dinamarca
10466;COMMI;4;01/03/2017;29/03/2017;24/03/2037;08/03/2017;1;11,93;Comércio Mineiro;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brasil
10467;MAGAA;8;01/03/2017;29/03/2017;24/03/2037;06/03/2017;2;4,93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;;24100;Itália
10468;KOENE;3;02/03/2017;30/03/2017;25/03/2037;07/03/2017;3;44,12;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10469;WHITC;1;05/03/2017;02/04/2017;28/03/2037;09/03/2017;1;60,18;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10470;BONAP;4;06/03/2017;03/04/2017;29/03/2037;09/03/2017;2;64,56;Bon app';12, rue des Bouchers;Marseille;;13008;França
10471;BSBEV;2;06/03/2017;03/04/2017;29/03/2037;13/03/2017;3;45,59;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10472;SEVES;8;07/03/2017;04/04/2017;30/03/2037;14/03/2017;1;4,20;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10473;ISLAT;1;08/03/2017;22/03/2017;17/03/2037;16/03/2017;3;16,37;Island Trading;"Garden House
Crowther Way";Cowes;Isle of Wight;PO31 7PJ;Reino Unido
10474;PERIC;5;08/03/2017;05/04/2017;31/03/2037;16/03/2017;2;83,49;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;México
10475;SUPRD;9;09/03/2017;06/04/2017;01/04/2037;30/03/2017;1;68,52;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
10476;HILAA;8;12/03/2017;09/04/2017;04/04/2037;19/03/2017;3;4,41;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10477;PRINI;5;12/03/2017;09/04/2017;04/04/2037;20/03/2017;2;13,02;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;;1756;Portugal
10478;VICTE;2;13/03/2017;27/03/2017;22/03/2037;21/03/2017;3;4,81;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10479;RATTC;3;14/03/2017;11/04/2017;06/04/2037;16/03/2017;3;708,95;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10480;FOLIG;6;15/03/2017;12/04/2017;07/04/2037;19/03/2017;2;1,35;Folies gourmandes;184, chaussée de Tournai;Lille;;59000;França
10481;RICAR;8;15/03/2017;12/04/2017;07/04/2037;20/03/2017;2;64,33;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10482;LAZYK;1;16/03/2017;13/04/2017;08/04/2037;05/04/2017;3;7,48;Lazy K Kountry Store;12 Orchestra Terrace;Walla Walla;WA;99362;EUA
10483;WHITC;7;19/03/2017;16/04/2017;11/04/2037;20/04/2017;2;15,28;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10484;BSBEV;3;19/03/2017;16/04/2017;11/04/2037;27/03/2017;3;6,88;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10485;LINOD;4;20/03/2017;03/04/2017;29/03/2037;26/03/2017;2;64,45;LINO-Delicateses;Ave. 5 de Mayo Porlamar;I. de Margarita;Nueva Esparta;4980;Venezuela
10486;HILAA;1;21/03/2017;18/04/2017;13/04/2037;28/03/2017;2;30,53;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10487;QUEEN;2;21/03/2017;18/04/2017;13/04/2037;23/03/2017;2;71,07;Queen Cozinha;Alameda dos Canàrios, 891;São Paulo;SP;05487-020;Brasil
10488;FRANK;8;22/03/2017;19/04/2017;14/04/2037;28/03/2017;2;4,93;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10489;PICCO;6;23/03/2017;20/04/2017;15/04/2037;04/04/2017;2;5,29;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10490;HILAA;7;26/03/2017;23/04/2017;18/04/2037;29/03/2017;2;210,19;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10491;FURIB;8;26/03/2017;23/04/2017;18/04/2037;03/04/2017;3;16,96;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10492;BOTTM;3;27/03/2017;24/04/2017;19/04/2037;06/04/2017;1;62,89;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canadá
10493;LAMAI;4;28/03/2017;25/04/2017;20/04/2037;05/04/2017;3;10,64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10494;COMMI;4;28/03/2017;25/04/2017;20/04/2037;04/04/2017;2;65,99;Comércio Mineiro;Av. dos Lusíadas, 23;São Paulo;SP;05432-043;Brasil
10495;LAUGB;3;29/03/2017;26/04/2017;21/04/2037;06/04/2017;3;4,65;Laughing Bacchus Wine Cellars;2319 Elm St.;Vancouver;BC;V3F 2K1;Canadá
10496;TRADH;7;30/03/2017;27/04/2017;22/04/2037;02/04/2017;2;46,77;Tradição Hipermercados;Av. Inês de Castro, 414;São Paulo;SP;05634-030;Brasil
10497;LEHMS;7;30/03/2017;27/04/2017;22/04/2037;02/04/2017;1;36,21;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10498;HILAA;8;02/04/2017;30/04/2017;25/04/2037;06/04/2017;2;29,75;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10499;LILAS;4;03/04/2017;01/05/2017;26/04/2037;11/04/2017;2;102,02;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10500;LAMAI;6;04/04/2017;02/05/2017;27/04/2037;12/04/2017;1;42,68;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;;31000;França
10501;BLAUS;9;04/04/2017;02/05/2017;27/04/2037;11/04/2017;3;8,85;Blauer See Delikatessen;Forsterstr. 57;Mannheim;;68306;Alemanha
10502;PERIC;2;05/04/2017;03/05/2017;28/04/2037;24/04/2017;1;69,32;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;;05033;México
10503;HUNGO;6;06/04/2017;04/05/2017;29/04/2037;11/04/2017;2;16,74;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10504;WHITC;4;06/04/2017;04/05/2017;29/04/2037;13/04/2017;3;59,13;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;EUA
10505;MEREP;3;09/04/2017;07/05/2017;02/05/2037;16/04/2017;3;7,13;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10506;KOENE;9;10/04/2017;08/05/2017;03/05/2037;27/04/2017;2;21,19;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10507;ANTON;7;10/04/2017;08/05/2017;03/05/2037;17/04/2017;1;47,45;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10508;OTTIK;1;11/04/2017;09/05/2017;04/05/2037;08/05/2017;2;4,99;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10509;BLAUS;4;12/04/2017;10/05/2017;05/05/2037;24/04/2017;1;0,15;Blauer See Delikatessen;Forsterstr. 57;Mannheim;;68306;Alemanha
10510;SAVEA;6;13/04/2017;11/05/2017;06/05/2037;23/04/2017;3;367,63;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10511;BONAP;4;13/04/2017;11/05/2017;06/05/2037;16/04/2017;3;350,64;Bon app';12, rue des Bouchers;Marseille;;13008;França
10512;FAMIA;7;16/04/2017;14/05/2017;09/05/2037;19/04/2017;2;3,53;Familia Arquibaldo;Rua Orós, 92;São Paulo;SP;05442-030;Brasil
10513;WANDK;7;17/04/2017;29/05/2017;24/05/2037;23/04/2017;1;105,65;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;;70563;Alemanha
10514;ERNSH;3;17/04/2017;15/05/2017;10/05/2037;11/05/2017;2;789,95;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10515;QUICK;2;18/04/2017;02/05/2017;27/04/2037;18/05/2017;1;204,47;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10516;HUNGO;2;19/04/2017;17/05/2017;12/05/2037;26/04/2017;3;62,78;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10517;NORTS;3;19/04/2017;17/05/2017;12/05/2037;24/04/2017;3;32,07;North/South;"South House
300 Queensbridge";London;;SW7 1RZ;Reino Unido
10518;TORTU;4;20/04/2017;04/05/2017;29/04/2037;30/04/2017;2;218,15;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
10519;CHOPS;6;23/04/2017;21/05/2017;16/05/2037;26/04/2017;3;91,76;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suíça
10520;SANTG;7;24/04/2017;22/05/2017;17/05/2037;26/04/2017;1;13,37;Santé Gourmet;Erling Skakkes gate 78;Stavern;;4110;Noruega
10521;CACTU;8;24/04/2017;22/05/2017;17/05/2037;27/04/2017;2;17,22;Cactus Comidas para llevar;Cerrito 333;Buenos Aires;;1010;Argentina
10522;LEHMS;4;25/04/2017;23/05/2017;18/05/2037;01/05/2017;1;45,33;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10523;SEVES;7;26/04/2017;24/05/2017;19/05/2037;25/05/2017;2;77,63;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10524;BERGS;1;26/04/2017;24/05/2017;19/05/2037;02/05/2017;2;244,79;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10525;BONAP;1;27/04/2017;25/05/2017;20/05/2037;18/05/2017;2;11,06;Bon app';12, rue des Bouchers;Marseille;;13008;França
10526;WARTH;4;30/04/2017;28/05/2017;23/05/2037;10/05/2017;2;58,59;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10527;QUICK;7;30/04/2017;28/05/2017;23/05/2037;02/05/2017;1;41,90;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10528;GREAL;6;01/05/2017;15/05/2017;10/05/2037;04/05/2017;2;3,35;Great Lakes Food Market;2732 Baker Blvd.;Eugene;OR;97403;EUA
10529;MAISD;5;02/05/2017;30/05/2017;25/05/2037;04/05/2017;2;66,69;Maison Dewey;Rue Joseph-Bens 532;Bruxelles;;B-1180;Bélgica
10530;PICCO;3;03/05/2017;31/05/2017;26/05/2037;07/05/2017;2;339,22;Piccolo und mehr;Geislweg 14;Salzburg;;5020;Áustria
10531;OCEAN;7;03/05/2017;31/05/2017;26/05/2037;14/05/2017;1;8,12;Océano Atlántico Ltda.;"Ing. Gustavo Moncada 8585
Piso 20-A";Buenos Aires;;1010;Argentina
10532;EASTC;7;04/05/2017;01/06/2017;27/05/2037;07/05/2017;3;74,46;Eastern Connection;35 King George;London;;WX3 6FW;Reino Unido
10533;FOLKO;8;07/05/2017;04/06/2017;30/05/2037;17/05/2017;1;188,04;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10534;LEHMS;8;07/05/2017;04/06/2017;30/05/2037;09/05/2017;2;27,94;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10535;ANTON;4;08/05/2017;05/06/2017;31/05/2037;16/05/2017;1;15,64;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10536;LEHMS;3;09/05/2017;06/06/2017;01/06/2037;01/06/2017;2;58,88;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10537;RICSU;1;09/05/2017;23/05/2017;18/05/2037;14/05/2017;1;78,85;Richter Supermarkt;Starenweg 5;Genève;;1204;Suíça
10538;BSBEV;9;10/05/2017;07/06/2017;02/06/2037;11/05/2017;3;4,87;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10539;BSBEV;6;11/05/2017;08/06/2017;03/06/2037;18/05/2017;3;12,36;B's Beverages;Fauntleroy Circus;London;;EC2 5NT;Reino Unido
10540;QUICK;3;14/05/2017;11/06/2017;06/06/2037;08/06/2017;3;1.007,64;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10541;HANAR;2;14/05/2017;11/06/2017;06/06/2037;24/05/2017;1;68,65;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brasil
10542;KOENE;1;15/05/2017;12/06/2017;07/06/2037;21/05/2017;3;10,95;Königlich Essen;Maubelstr. 90;Brandenburg;;14776;Alemanha
10543;LILAS;8;16/05/2017;13/06/2017;08/06/2037;18/05/2017;2;48,17;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
10544;LONEP;4;16/05/2017;13/06/2017;08/06/2037;25/05/2017;1;24,91;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;EUA
10545;LAZYK;8;17/05/2017;14/06/2017;09/06/2037;21/06/2017;2;11,92;Lazy K Kountry Store;12 Orchestra Terrace;Walla Walla;WA;99362;EUA
10546;VICTE;1;18/05/2017;15/06/2017;10/06/2037;22/05/2017;3;194,72;Victuailles en stock;2, rue du Commerce;Lyon;;69004;França
10547;SEVES;3;18/05/2017;15/06/2017;10/06/2037;28/05/2017;2;178,43;Seven Seas Imports;90 Wadhurst Rd.;London;;OX15 4NB;Reino Unido
10548;TOMSP;3;21/05/2017;18/06/2017;13/06/2037;28/05/2017;2;1,43;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemanha
10549;QUICK;5;22/05/2017;05/06/2017;31/05/2037;25/05/2017;1;171,24;QUICK-Stop;Taucherstraße 10;Cunewalde;;01307;Alemanha
10550;GODOS;7;23/05/2017;20/06/2017;15/06/2037;01/06/2017;3;4,32;Godos Cocina Típica;C/ Romero, 33;Sevilla;;41101;Espanha
10551;FURIB;4;23/05/2017;04/07/2017;29/06/2037;01/06/2017;3;72,95;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;;1675;Portugal
10552;HILAA;2;24/05/2017;21/06/2017;16/06/2037;31/05/2017;1;83,22;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
10553;WARTH;2;25/05/2017;22/06/2017;17/06/2037;29/05/2017;2;149,49;Wartian Herkku;Torikatu 38;Oulu;;90110;Finlândia
10554;OTTIK;4;25/05/2017;22/06/2017;17/06/2037;31/05/2017;3;120,97;Ottilies Käseladen;Mehrheimerstr. 369;Köln;;50739;Alemanha
10555;SAVEA;6;28/05/2017;25/06/2017;20/06/2037;30/05/2017;3;252,49;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;EUA
10556;SIMOB;2;29/05/2017;10/07/2017;05/07/2037;08/06/2017;1;9,80;Simons bistro;Vinbæltet 34;København;;1734;Dinamarca
10557;LEHMS;9;29/05/2017;12/06/2017;07/06/2037;01/06/2017;2;96,72;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;;60528;Alemanha
10558;AROUT;1;30/05/2017;27/06/2017;22/06/2037;05/06/2017;2;72,97;Around the Horn;"Brook Farm
Stratford St. Mary";Colchester;Essex;CO7 6JX;Reino Unido
10559;BLONP;6;31/05/2017;28/06/2017;23/06/2037;08/06/2017;1;8,05;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10560;FRANK;8;01/06/2017;29/06/2017;24/06/2037;04/06/2017;1;36,65;Frankenversand;Berliner Platz 43;München;;80805;Alemanha
10561;FOLKO;2;01/06/2017;29/06/2017;24/06/2037;04/06/2017;2;242,21;Folk och fä HB;Åkergatan 24;Bräcke;;S-844 67;Suécia
10562;REGGC;1;04/06/2017;02/07/2017;27/06/2037;07/06/2017;1;22,95;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;;42100;Itália
10563;RICAR;2;05/06/2017;17/07/2017;12/07/2037;19/06/2017;2;60,43;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brasil
10564;RATTC;4;05/06/2017;03/07/2017;28/06/2037;11/06/2017;3;13,75;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10565;MEREP;8;06/06/2017;04/07/2017;29/06/2037;13/06/2017;2;7,15;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10566;BLONP;9;07/06/2017;05/07/2017;30/06/2037;13/06/2017;1;88,40;Blondel père et fils;24, place Kléber;Strasbourg;;67000;França
10567;HUNGO;1;07/06/2017;05/07/2017;30/06/2037;12/06/2017;1;33,97;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;;Irlanda
10568;GALED;3;08/06/2017;06/07/2017;01/07/2037;04/07/2017;3;6,54;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;;8022;Espanha
10569;RATTC;5;11/06/2017;09/07/2017;04/07/2037;06/07/2017;1;58,98;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;EUA
10570;MEREP;3;12/06/2017;10/07/2017;05/07/2037;14/06/2017;3;188,99;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canadá
10571;ERNSH;8;12/06/2017;24/07/2017;19/07/2037;29/06/2017;3;26,06;Ernst Handel;Kirchgasse 6;Graz;;8010;Áustria
10572;BERGS;3;13/06/2017;11/07/2017;06/07/2037;20/06/2017;2;116,43;Berglunds snabbköp;Berguvsvägen  8;Luleå;;S-958 22;Suécia
10573;ANTON;7;14/06/2017;12/07/2017;07/07/2037;15/06/2017;3;84,84;Antonio Moreno Taquería;Mataderos  2312;México D.F.;;05023;México
10574;TRAIH;4;14/06/2017;12/07/2017;07/07/2037;25/06/2017;2;37,60;Trail's Head Gourmet Provisioners;722 DaVinci Blvd.;Kirkland;WA;98034;EUA
10575;MORGK;5;15/06/2017;29/06/2017;24/06/2037;25/06/2017;1;127,34;Morgenstern Gesundkost;Heerstr. 22;Leipzig;;04179;Alemanha
10576;TORTU;3;18/06/2017;02/07/2017;27/06/2037;25/06/2017;3;18,56;Tortuga Restaurante;Avda. Azteca 123;México D.F.;;05033;México
